data,valor_tarifa,ipca_variacao_acumulada_ano_base,ipca_variacao_mensal_acumulada,salario_minimo_real,valor_tarifa_real_ipca,valor_tarifa_real_igpm
1999-07-12,1.0,8.94,,666.37,4.83,7.36
2001-01-25,1.15,7.67,10.53,673.01,5.0,6.94
2002-05-13,1.35,12.53,9.7,798.44,5.33,7.3
2003-02-25,1.7,9.3,11.87,688.05,5.97,7.25
2004-03-17,1.8,7.6,8.07,763.9,5.83,7.11
2005-08-15,1.9,5.69,9.35,886.54,5.61,6.69
2006-04-10,2.0,3.14,3.61,1007.1,5.7,7.0
2007-04-09,2.1,4.46,2.92,1057.06,5.81,7.05
2008-04-01,2.3,5.9,4.63,1090.09,6.07,7.08
2009-03-01,2.3,4.31,5.27,1160.54,5.76,6.61
2011-02-28,2.5,6.5,9.79,1211.89,5.68,6.51
2012-03-01,2.85,5.84,6.5,1321.14,6.07,7.1
2013-07-01,2.75,5.91,7.79,1328.63,5.42,6.26
2013-11-11,2.7,5.91,1.19,1307.86,5.26,5.98
2014-11-12,3.0,6.41,6.4,1313.4,5.48,6.45
2015-11-19,3.25,10.67,9.51,1288.22,5.4,6.35
2016-12-21,3.55,6.29,7.79,1337.76,5.46,6.38
2017-12-03,3.7,2.95,2.77,1395.57,5.54,6.7
2018-12-03,3.95,3.75,3.98,1373.72,5.68,6.52
2019-12-28,4.1,4.31,3.23,1375.43,5.71,6.51
2020-01-09,3.95,4.52,1.15,1429.22,5.44,6.15
2020-01-22,4.1,4.52,,1429.22,5.64,6.38
2020-12-30,4.2,4.52,3.09,1365.81,5.61,5.36
2022-01-14,4.4,5.79,10.98,1428.4,5.27,4.72
2023-02-27,4.65,4.62,6.19,1440.48,5.23,4.72
2024-03-13,4.75,4.83,5.25,1501.24,5.07,5.01
2025-01-23,4.95,,3.48,1564.78,5.11,4.88
